zone_id,entry_date,r_multiple,outcome,type,structure,width_atr,base_length,base_wick_frac,avg_atr,departure_body_atr,departure_close_ratio,leg_out_clear_atr,leg_out_disp_atr,leg_out_candles,leg_out_velocity,leg_out_vol_exp,leg_in_disp_atr,leg_in_candles,leg_in_velocity,disp_base_ratio,arrival_cleanliness,departure_volume_ratio,base_volume_ratio,trend_score,trend_aligned,weekly_trend_align,weekly_in_zone,weekly_dist_atr,weekly_zone_strength,weekly_zone_fresh,weekly_confluence_score,weekly_confirmed,freshness_score,strength_pit,symbol,label,is_demand,struct_DBD,struct_DBR,struct_RBD,struct_RBR
Z0001,2015-02-10,2.0,win,demand,RBR,1.3203,1,0.57,8.189,1.0887,0.9056,1.4116,1.3871,4,0.3468,0.7626,1.268,3,0.4227,1.0506,0.6667,0.7127789863146943,0.6723,1.0,1,0,0,,,0,0.075,0,0.45,0.8457,INFY.NS,1,1,0,0,0,1
Z0001,2015-03-03,-1.0,loss,supply,DBD,0.9441,2,0.8053,4.6136,1.0226,0.9271,2.1284,1.4612,3,0.4871,1.5077,0.2401,3,0.08,1.5476,0.3333,1.2172656405257416,0.6298,0.674,1,0,0,,,0,0.075,0,0.65,0.6175,RELIANCE.NS,0,0,1,0,0,0
Z0001,2015-03-05,2.0,win,supply,RBD,1.0794,2,0.7862,113.9009,1.6374,0.8726,1.5224,1.849,4,0.4622,1.0043,0.3749,3,0.125,1.7129,0.3333,1.358750649563767,1.0893,0.0,0,0,0,,,0,0.075,0,0.45,0.7703,^NSEI,1,0,0,0,1,0
Z0002,2015-03-11,0.2587,timeout,supply,DBD,1.7077,3,0.6537,8.5999,1.4618,0.8619,1.0844,0.1664,3,0.0555,1.3499,0.335,3,0.1117,0.0974,1.0,1.1956375025804065,0.726,0.0,0,0,0,,,0,0.075,0,0.45,0.7265,INFY.NS,1,0,1,0,0,0
Z0002,2015-03-12,-1.0,loss,demand,RBR,0.716,1,0.38,21.4537,0.9058,0.9055,1.8196,1.092,4,0.273,0.7164,1.4983,3,0.4994,1.525,0.6667,0.8780702257064336,0.8006,0.9453,1,0,0,,,0,0.075,0,0.65,0.6371,TCS.NS,0,1,0,0,0,1
Z0003,2015-03-31,-1.0,loss,supply,DBD,0.9942,3,0.6097,111.8488,1.1873,0.9035,1.5659,0.0067,2,0.0034,1.6605,1.5378,3,0.5126,0.0067,1.0,1.5140949755398794,0.8816,0.8705,1,0,0,,,0,0.075,0,0.85,0.7774,^NSEI,0,0,1,0,0,0
Z0001,2015-04-17,-1.0,loss,demand,DBR,0.7427,2,0.6909,20.811,1.2687,0.8971,3.5764,2.626,4,0.6565,0.9691,2.0641,3,0.688,3.5355,0.6667,1.341563698648279,0.972,0.531,1,0,0,,,0,0.075,0,0.85,0.3222,TCS.NS,0,1,0,1,0,0
Z0004,2015-04-21,-1.0,loss,demand,DBR,1.2247,1,0.621,117.6224,0.8617,1.0,2.0974,1.4249,4,0.3562,0.8277,1.657,3,0.5523,1.1635,0.6667,0.7566140538111554,1.0502,0.4599,0,0,0,,,0,0.0749,0,0.85,0.4692,^NSEI,0,1,0,1,0,0
Z0006,2015-05-11,2.0,win,supply,RBD,0.6256,1,0.8188,119.9706,1.8304,0.9438,1.8613,0.3309,2,0.1655,1.5838,0.4764,3,0.1588,0.529,0.3333,1.2047708004023567,0.9159,1.0,1,0,0,,,0,0.1257,0,0.85,0.6721,^NSEI,1,0,0,0,1,0
Z0002,2015-05-11,2.0,win,supply,RBD,1.5969,3,0.7989,4.9487,2.2231,0.8787,1.3235,0.396,2,0.198,2.1289,2.4534,3,0.8178,0.248,1.0,1.9375919300457147,1.2473,0.4528,0,0,0,,,0,0.075,0,0.45,0.786,RELIANCE.NS,1,0,0,0,1,0
